ROWNUM|ACCOUNTID|MERCHANT_NAME|MERCHANT_CATEGORY_CODE|MERCHANT_CATEGORY_DESC|MERCHANT_COUNTRY|POST_DATE|TRANSACTION_DATE|TRANSACTION_TYPE|CREDIT_DEBIT|CREDIT_LIMIT|AMOUNT|BALANCE|CREDITCARDNUMBER|CC_TYPE|USE_CASE|CUST_NAME|NUM_CCS|CUST_CITY|CUST_STATE|CUST_ZIP|CUST_COUNTRY|TRANS_DETAIL
16_2016-02-01 22:08:53|10786155|Payment|1111|Customer Payment|US|2015-01-29|2015-01-28|Wire Payment|C|3000|6|12|30872153408866995|discover|Use Case 4 - Green|Ms. Roxane Effertz|2|PALO ALTO|CA|94303|US|
17_2016-02-01 22:08:53|10786155|Network Industries Star|1761|Roofing/Siding Sheet Metal|US|2015-02-01|2015-01-31|Refund|D|3000|8|4|30872153408866995|discover|Use Case 4 - Green|Ms. Roxane Effertz|2|PALO ALTO|CA|94303|US|
18_2016-02-01 22:08:53|10786155|Omega People General|3408|Car Rental|US|2015-02-02|2015-02-01|Refund|D|3000|1|3|30872153408866995|discover|Use Case 4 - Green|Ms. Roxane Effertz|2|PALO ALTO|CA|94303|US|
19_2016-02-01 22:08:53|10786155|Data West|3637|Hotels/Motels/Inns/Resorts|US|2015-02-04|2015-02-03|Penalty|D|3000|1|2|30872153408866995|discover|Use Case 4 - Green|Ms. Roxane Effertz|2|PALO ALTO|CA|94303|US|
20_2016-02-01 22:08:53|10786155|Payment|1111|Customer Payment|US|2015-02-07|2015-02-06|e-Check Check|C|3000|1|3|30872153408866995|discover|Use Case 4 - Green|Ms. Roxane Effertz|2|PALO ALTO|CA|94303|US|
21_2016-02-01 22:08:53|10786155|Payment|1111|Customer Payment|NO|2015-02-10|2015-02-09|Cash Payment|C|3000|3|6|30872153408866995|discover|Use Case 4 - Green|Ms. Roxane Effertz|2|PALO ALTO|CA|94303|US|
22_2016-02-01 22:08:53|10786155|Research People Innovation|3052|Airlines|US|2015-02-11|2015-02-10|Refund|D|3000|6|0|30872153408866995|discover|Use Case 4 - Green|Ms. Roxane Effertz|2|PALO ALTO|CA|94303|US|
23_2016-02-01 22:08:53|10786155|Payment|1111|Customer Payment|US|2015-02-14|2015-02-13|e-Check Check|C|3000|711|711|30872153408866995|discover|Use Case 4 - Green|Ms. Roxane Effertz|2|PALO ALTO|CA|94303|US|
24_2016-02-01 22:08:53|10786155|Solutions Data|3289|Airlines|US|2015-02-16|2015-02-15|Purchase|D|3000|86|625|30872153408866995|discover|Use Case 4 - Green|Ms. Roxane Effertz|2|PALO ALTO|CA|94303|US|
25_2016-02-01 22:08:53|10786155|Network Industries Pacific|3568|Hotels/Motels/Inns/Resorts|US|2015-02-19|2015-02-18|Interest Charge|D|3000|554|71|30872153408866995|discover|Use Case 4 - Green|Ms. Roxane Effertz|2|PALO ALTO|CA|94303|US|
26_2016-02-01 22:08:53|10786155|General Medicine|3529|Hotels/Motels/Inns/Resorts|US|2015-02-22|2015-02-21|Interest Charge|D|3000|28|43|30872153408866995|discover|Use Case 4 - Green|Ms. Roxane Effertz|2|PALO ALTO|CA|94303|US|
27_2016-02-01 22:08:53|10786155|Payment|1111|Customer Payment|ZA|2015-02-23|2015-02-22|Online Transfer|C|3000|7|50|30872153408866995|discover|Use Case 4 - Green|Ms. Roxane Effertz|2|PALO ALTO|CA|94303|US|
28_2016-02-01 22:08:53|10786155|General South Vision|8241|Correspondence Schools|US|2015-02-25|2015-02-24|Penalty|D|3000|1|49|30872153408866995|discover|Use Case 4 - Green|Ms. Roxane Effertz|2|PALO ALTO|CA|94303|US|
29_2016-02-01 22:08:53|10786155|Industries Omega Atlantic|1771|Concrete Work Contractors|US|2015-02-27|2015-02-26|Interest Charge|D|3000|24|25|30872153408866995|discover|Use Case 4 - Green|Ms. Roxane Effertz|2|PALO ALTO|CA|94303|US|
30_2016-02-01 22:08:53|10786155|Omega Hill|3538|Hotels/Motels/Inns/Resorts|US|2015-03-01|2015-02-28|Purchase|D|3000|8|17|30872153408866995|discover|Use Case 4 - Green|Ms. Roxane Effertz|2|PALO ALTO|CA|94303|US|
31_2016-02-01 22:08:53|10786155|Omega Data Electronics|3720|Hotels/Motels/Inns/Resorts|US|2015-03-02|2015-03-01|Interest Charge|D|3000|3|14|30872153408866995|discover|Use Case 4 - Green|Ms. Roxane Effertz|2|PALO ALTO|CA|94303|US|
32_2016-02-01 22:08:53|10786155|North Power Signal|3576|Hotels/Motels/Inns/Resorts|US|2015-03-03|2015-03-02|Purchase|D|3000|5|9|30872153408866995|discover|Use Case 4 - Green|Ms. Roxane Effertz|2|PALO ALTO|CA|94303|US|
33_2016-02-01 22:08:53|10786155|West Max|3759|Hotels/Motels/Inns/Resorts|US|2015-03-05|2015-03-04|Interest Charge|D|3000|4|5|30872153408866995|discover|Use Case 4 - Green|Ms. Roxane Effertz|2|PALO ALTO|CA|94303|US|
34_2016-02-01 22:08:53|10786155|Net Bell Vision|5983|Fuel Dealers (Non Automotive)|US|2015-03-06|2015-03-05|Fee|D|3000|4|1|30872153408866995|discover|Use Case 4 - Green|Ms. Roxane Effertz|2|PALO ALTO|CA|94303|US|
35_2016-02-01 22:08:53|10786155|Frontier Interactive Atlantic|742|Veterinary Services|US|2015-03-09|2015-03-08|Penalty|D|3000|1|0|30872153408866995|discover|Use Case 4 - Green|Ms. Roxane Effertz|2|PALO ALTO|CA|94303|US|
36_2016-02-01 22:08:53|10786155|Payment|1111|Customer Payment|US|2015-03-10|2015-03-09|e-Check Check|C|3000|969|969|30872153408866995|discover|Use Case 4 - Green|Ms. Roxane Effertz|2|PALO ALTO|CA|94303|US|
37_2016-02-01 22:08:53|10786155|Payment|1111|Customer Payment|LS|2015-03-12|2015-03-11|ACH Payment|C|3000|816|1785|30872153408866995|discover|Use Case 4 - Green|Ms. Roxane Effertz|2|PALO ALTO|CA|94303|US|
38_2016-02-01 22:08:53|10786155|Payment|1111|Customer Payment|US|2015-03-13|2015-03-12|Online Transfer|C|3000|229|2014|30872153408866995|discover|Use Case 4 - Green|Ms. Roxane Effertz|2|PALO ALTO|CA|94303|US|
39_2016-02-01 22:08:53|10786155|Payment|1111|Customer Payment|VA|2015-03-14|2015-03-13|Cash Payment|C|3000|297|2311|30872153408866995|discover|Use Case 4 - Green|Ms. Roxane Effertz|2|PALO ALTO|CA|94303|US|
40_2016-02-01 22:08:53|10786155|Payment|1111|Customer Payment|US|2015-03-16|2015-03-15|e-Check Check|C|3000|432|2743|30872153408866995|discover|Use Case 4 - Green|Ms. Roxane Effertz|2|PALO ALTO|CA|94303|US|
41_2016-02-01 22:08:53|10786155|Payment|1111|Customer Payment|US|2015-03-17|2015-03-16|ACH Payment|C|3000|2000|4743|30872153408866995|discover|Use Case 4 - Green|Ms. Roxane Effertz|2|PALO ALTO|CA|94303|US|
42_2016-02-01 22:08:53|10786155|Medicine East|3752|Hotels/Motels/Inns/Resorts|US|2015-03-20|2015-03-19|Penalty|D|3000|1729|3014|30872153408866995|discover|Use Case 4 - Green|Ms. Roxane Effertz|2|PALO ALTO|CA|94303|US|
43_2016-02-01 22:08:53|10786155|Contract Power|3169|Airlines|US|2015-03-21|2015-03-20|Interest Charge|D|3000|14|3000|30872153408866995|discover|Use Case 4 - Green|Ms. Roxane Effertz|2|PALO ALTO|CA|94303|US|
44_2016-02-01 22:08:53|10786155|Architecture Application Universal|3720|Hotels/Motels/Inns/Resorts|US|2015-03-22|2015-03-21|Purchase|D|3000|1691|1309|30872153408866995|discover|Use Case 4 - Green|Ms. Roxane Effertz|2|PALO ALTO|CA|94303|US|
45_2016-02-01 22:08:53|10786155|Max Omega Architecture|3785|Hotels/Motels/Inns/Resorts|US|2015-03-23|2015-03-22|Refund|D|3000|1291|18|30872153408866995|discover|Use Case 4 - Green|Ms. Roxane Effertz|2|PALO ALTO|CA|94303|US|
46_2016-02-01 22:08:53|10786155|People Net Data|3143|Airlines|US|2015-03-25|2015-03-24|Interest Charge|D|3000|17|1|30872153408866995|discover|Use Case 4 - Green|Ms. Roxane Effertz|2|PALO ALTO|CA|94303|US|
47_2016-02-01 22:08:53|10786155|Net Adventure Solutions|3296|Airlines|US|2015-03-27|2015-03-26|Fee|D|3000|1|0|30872153408866995|discover|Use Case 4 - Green|Ms. Roxane Effertz|2|PALO ALTO|CA|94303|US|
48_2016-02-01 22:08:53|10786155|Payment|1111|Customer Payment|US|2015-03-30|2015-03-29|Cash Payment|C|3000|1169|1169|30872153408866995|discover|Use Case 4 - Green|Ms. Roxane Effertz|2|PALO ALTO|CA|94303|US|
49_2016-02-01 22:08:53|10786155|Resource Max Advanced|3519|Hotels/Motels/Inns/Resorts|US|2015-04-01|2015-03-31|Refund|D|3000|672|497|30872153408866995|discover|Use Case 4 - Green|Ms. Roxane Effertz|2|PALO ALTO|CA|94303|US|
50_2016-02-01 22:08:53|10786155|Payment|1111|Customer Payment|US|2015-04-02|2015-04-01|ACH Payment|C|3000|244|741|30872153408866995|discover|Use Case 4 - Green|Ms. Roxane Effertz|2|PALO ALTO|CA|94303|US|
51_2016-02-01 22:08:53|10786155|Star Electronics|3254|Airlines|US|2015-04-03|2015-04-02|Purchase|D|3000|152|589|30872153408866995|discover|Use Case 4 - Green|Ms. Roxane Effertz|2|PALO ALTO|CA|94303|US|
52_2016-02-01 22:08:53|10786155|Data Data|5039|Construction Materials (Not Elsewhere Classified)|US|2015-04-05|2015-04-04|Interest Charge|D|3000|116|473|30872153408866995|discover|Use Case 4 - Green|Ms. Roxane Effertz|2|PALO ALTO|CA|94303|US|
53_2016-02-01 22:08:53|10786155|Payment|1111|Customer Payment|SK|2015-04-08|2015-04-07|Wire Payment|C|3000|340|813|30872153408866995|discover|Use Case 4 - Green|Ms. Roxane Effertz|2|PALO ALTO|CA|94303|US|
54_2016-02-01 22:08:53|10786155|Medicine General Atlantic|7692|Welding Repair|US|2015-04-11|2015-04-10|Purchase|D|3000|81|732|30872153408866995|discover|Use Case 4 - Green|Ms. Roxane Effertz|2|PALO ALTO|CA|94303|US|
55_2016-02-01 22:08:53|10786155|Advanced Alpha|3707|Hotels/Motels/Inns/Resorts|US|2015-04-12|2015-04-11|Fee|D|3000|686|46|30872153408866995|discover|Use Case 4 - Green|Ms. Roxane Effertz|2|PALO ALTO|CA|94303|US|
56_2016-02-01 22:08:53|10786155|Payment|1111|Customer Payment|US|2015-04-15|2015-04-14|Online Transfer|C|3000|22|68|30872153408866995|discover|Use Case 4 - Green|Ms. Roxane Effertz|2|PALO ALTO|CA|94303|US|
57_2016-02-01 22:08:53|10786155|Payment|1111|Customer Payment|US|2015-04-16|2015-04-15|ATM Payment|C|3000|47|115|30872153408866995|discover|Use Case 4 - Green|Ms. Roxane Effertz|2|PALO ALTO|CA|94303|US|
58_2016-02-01 22:08:53|10786155|Payment|1111|Customer Payment|US|2015-04-17|2015-04-16|Cash Payment|C|3000|38|153|30872153408866995|discover|Use Case 4 - Green|Ms. Roxane Effertz|2|PALO ALTO|CA|94303|US|
59_2016-02-01 22:08:53|10786155|Payment|1111|Customer Payment|US|2015-04-18|2015-04-17|ATM Payment|C|3000|34|187|30872153408866995|discover|Use Case 4 - Green|Ms. Roxane Effertz|2|PALO ALTO|CA|94303|US|
60_2016-02-01 22:08:53|10786155|Payment|1111|Customer Payment|US|2015-04-20|2015-04-19|Online Transfer|C|3000|170|357|30872153408866995|discover|Use Case 4 - Green|Ms. Roxane Effertz|2|PALO ALTO|CA|94303|US|
61_2016-02-01 22:08:53|10786155|Payment|1111|Customer Payment|US|2015-04-21|2015-04-20|Online Transfer|C|3000|289|646|30872153408866995|discover|Use Case 4 - Green|Ms. Roxane Effertz|2|PALO ALTO|CA|94303|US|
62_2016-02-01 22:08:53|10786155|Architecture Data Vision|4214|Motor Freight Carriers and Trucking Local and Long Distance Moving and Storage Companies and Local Delivery Services|US|2015-04-23|2015-04-22|Fee|D|3000|507|139|30872153408866995|discover|Use Case 4 - Green|Ms. Roxane Effertz|2|PALO ALTO|CA|94303|US|
63_2016-02-01 22:08:53|10786155|Payment|1111|Customer Payment|US|2015-04-24|2015-04-23|Wire Payment|C|3000|45|184|30872153408866995|discover|Use Case 4 - Green|Ms. Roxane Effertz|2|PALO ALTO|CA|94303|US|
64_2016-02-01 22:08:53|10786155|Payment|1111|Customer Payment|US|2015-04-26|2015-04-25|Wire Payment|C|3000|6|190|30872153408866995|discover|Use Case 4 - Green|Ms. Roxane Effertz|2|PALO ALTO|CA|94303|US|
65_2016-02-01 22:08:53|10786155|Payment|1111|Customer Payment|CC|2015-04-29|2015-04-28|e-Check Check|C|3000|100|290|30872153408866995|discover|Use Case 4 - Green|Ms. Roxane Effertz|2|PALO ALTO|CA|94303|US|
66_2016-02-01 22:08:53|10786155|Internet South|8249|Vocational/Trade Schools|US|2015-05-02|2015-05-01|Fee|D|3000|145|145|30872153408866995|discover|Use Case 4 - Green|Ms. Roxane Effertz|2|PALO ALTO|CA|94303|US|
67_2016-02-01 22:08:53|10786155|Payment|1111|Customer Payment|US|2015-05-04|2015-05-03|Cash Payment|C|3000|83|228|30872153408866995|discover|Use Case 4 - Green|Ms. Roxane Effertz|2|PALO ALTO|CA|94303|US|
68_2016-02-01 22:08:53|10786155|Hardware South|9222|Fines   Government Administrative Entities|US|2015-05-07|2015-05-06|Penalty|D|3000|17|211|30872153408866995|discover|Use Case 4 - Green|Ms. Roxane Effertz|2|PALO ALTO|CA|94303|US|
69_2016-02-01 22:08:53|10786155|Technology Provider Future|3544|Hotels/Motels/Inns/Resorts|US|2015-05-09|2015-05-08|Penalty|D|3000|208|3|30872153408866995|discover|Use Case 4 - Green|Ms. Roxane Effertz|2|PALO ALTO|CA|94303|US|
70_2016-02-01 22:08:53|10786155|Internet Power|5499|Miscellaneous Food Stores  Convenience Stores and Specialty Markets|US|2015-05-12|2015-05-11|Refund|D|3000|3|0|30872153408866995|discover|Use Case 4 - Green|Ms. Roxane Effertz|2|PALO ALTO|CA|94303|US|
71_2016-02-01 22:08:53|10786155|Payment|1111|Customer Payment|US|2015-05-13|2015-05-12|Cash Payment|C|3000|322|322|30872153408866995|discover|Use Case 4 - Green|Ms. Roxane Effertz|2|PALO ALTO|CA|94303|US|
72_2016-02-01 22:08:53|10786155|Payment|1111|Customer Payment|CC|2015-05-14|2015-05-13|Online Transfer|C|3000|178|500|30872153408866995|discover|Use Case 4 - Green|Ms. Roxane Effertz|2|PALO ALTO|CA|94303|US|
73_2016-02-01 22:08:53|10786155|Payment|1111|Customer Payment|US|2015-05-16|2015-05-15|Wire Payment|C|3000|113|613|30872153408866995|discover|Use Case 4 - Green|Ms. Roxane Effertz|2|PALO ALTO|CA|94303|US|
74_2016-02-01 22:08:53|10786155|Payment|1111|Customer Payment|US|2015-05-17|2015-05-16|ATM Payment|C|3000|363|976|30872153408866995|discover|Use Case 4 - Green|Ms. Roxane Effertz|2|PALO ALTO|CA|94303|US|
75_2016-02-01 22:08:53|10786155|Bell Star|1750|Carpentry Contractors|US|2015-05-20|2015-05-19|Penalty|D|3000|4|972|30872153408866995|discover|Use Case 4 - Green|Ms. Roxane Effertz|2|PALO ALTO|CA|94303|US|
76_2016-02-01 22:08:53|10786155|Payment|1111|Customer Payment|XK|2015-05-22|2015-05-21|ATM Payment|C|3000|675|1647|30872153408866995|discover|Use Case 4 - Green|Ms. Roxane Effertz|2|PALO ALTO|CA|94303|US|
77_2016-02-01 22:08:53|10786155|Payment|1111|Customer Payment|HK|2015-05-23|2015-05-22|ATM Payment|C|3000|468|2115|30872153408866995|discover|Use Case 4 - Green|Ms. Roxane Effertz|2|PALO ALTO|CA|94303|US|
78_2016-02-01 22:08:53|10786155|Payment|1111|Customer Payment|AT|2015-05-24|2015-05-23|ATM Payment|C|3000|1316|3431|30872153408866995|discover|Use Case 4 - Green|Ms. Roxane Effertz|2|PALO ALTO|CA|94303|US|
79_2016-02-01 22:08:53|10786155|Alpha Bell Omega|7992|Golf Courses   Public|US|2015-05-26|2015-05-25|Purchase|D|3000|370|3061|30872153408866995|discover|Use Case 4 - Green|Ms. Roxane Effertz|2|PALO ALTO|CA|94303|US|
80_2016-02-01 22:08:53|10786155|Architecture Galaxy|3651|Hotels/Motels/Inns/Resorts|US|2015-05-28|2015-05-27|Penalty|D|3000|43|3018|30872153408866995|discover|Use Case 4 - Green|Ms. Roxane Effertz|2|PALO ALTO|CA|94303|US|
81_2016-02-01 22:08:53|10786155|East Technology Network|8734|Testing Laboratories|US|2015-05-31|2015-05-30|Fee|D|3000|18|3000|30872153408866995|discover|Use Case 4 - Green|Ms. Roxane Effertz|2|PALO ALTO|CA|94303|US|
82_2016-02-01 22:08:53|10786155|Adventure Provider Software|3735|Hotels/Motels/Inns/Resorts|US|2015-06-02|2015-06-01|Refund|D|3000|904|2096|30872153408866995|discover|Use Case 4 - Green|Ms. Roxane Effertz|2|PALO ALTO|CA|94303|US|
83_2016-02-01 22:08:53|10786155|Payment|1111|Customer Payment|US|2015-06-05|2015-06-04|Paper Check|C|3000|4|2100|30872153408866995|discover|Use Case 4 - Green|Ms. Roxane Effertz|2|PALO ALTO|CA|94303|US|
84_2016-02-01 22:08:53|10786155|Architecture Data Net|3640|Hotels/Motels/Inns/Resorts|US|2015-06-06|2015-06-05|Refund|D|3000|1778|322|30872153408866995|discover|Use Case 4 - Green|Ms. Roxane Effertz|2|PALO ALTO|CA|94303|US|
85_2016-02-01 22:08:53|10786155|Payment|1111|Customer Payment|US|2015-06-08|2015-06-07|Cash Payment|C|3000|311|633|30872153408866995|discover|Use Case 4 - Green|Ms. Roxane Effertz|2|PALO ALTO|CA|94303|US|
86_2016-02-01 22:08:53|10786155|Payment|1111|Customer Payment|US|2015-06-10|2015-06-09|ATM Payment|C|3000|462|1095|30872153408866995|discover|Use Case 4 - Green|Ms. Roxane Effertz|2|PALO ALTO|CA|94303|US|
87_2016-02-01 22:08:53|10786155|Speed Vision Net|3545|Hotels/Motels/Inns/Resorts|US|2015-06-12|2015-06-11|Purchase|D|3000|165|930|30872153408866995|discover|Use Case 4 - Green|Ms. Roxane Effertz|2|PALO ALTO|CA|94303|US|
88_2016-02-01 22:08:53|10786155|Interactive Speed Solutions|3694|Hotels/Motels/Inns/Resorts|US|2015-06-15|2015-06-14|Interest Charge|D|3000|874|56|30872153408866995|discover|Use Case 4 - Green|Ms. Roxane Effertz|2|PALO ALTO|CA|94303|US|
89_2016-02-01 22:08:53|10786155|South Future Direct|3405|Car Rental|US|2015-06-18|2015-06-17|Penalty|D|3000|26|30|30872153408866995|discover|Use Case 4 - Green|Ms. Roxane Effertz|2|PALO ALTO|CA|94303|US|
90_2016-02-01 22:08:53|10786155|Payment|1111|Customer Payment|MK|2015-06-21|2015-06-20|Wire Payment|C|3000|22|52|30872153408866995|discover|Use Case 4 - Green|Ms. Roxane Effertz|2|PALO ALTO|CA|94303|US|
91_2016-02-01 22:08:53|10786155|Payment|1111|Customer Payment|US|2015-06-24|2015-06-23|Cash Payment|C|3000|10|62|30872153408866995|discover|Use Case 4 - Green|Ms. Roxane Effertz|2|PALO ALTO|CA|94303|US|
92_2016-02-01 22:08:53|10786155|Payment|1111|Customer Payment|US|2015-06-25|2015-06-24|Cash Payment|C|3000|58|120|30872153408866995|discover|Use Case 4 - Green|Ms. Roxane Effertz|2|PALO ALTO|CA|94303|US|
93_2016-02-01 22:08:53|10786155|Payment|1111|Customer Payment|US|2015-06-27|2015-06-26|Wire Payment|C|3000|106|226|30872153408866995|discover|Use Case 4 - Green|Ms. Roxane Effertz|2|PALO ALTO|CA|94303|US|
94_2016-02-01 22:08:53|10786155|Payment|1111|Customer Payment|FO|2015-06-30|2015-06-29|e-Check Check|C|3000|82|308|30872153408866995|discover|Use Case 4 - Green|Ms. Roxane Effertz|2|PALO ALTO|CA|94303|US|
95_2016-02-01 22:08:53|10786155|Payment|1111|Customer Payment|US|2015-07-01|2015-06-30|ATM Payment|C|3000|221|529|30872153408866995|discover|Use Case 4 - Green|Ms. Roxane Effertz|2|PALO ALTO|CA|94303|US|
96_2016-02-01 22:08:53|10786155|Payment|1111|Customer Payment|US|2015-07-03|2015-07-02|e-Check Check|C|3000|500|1029|30872153408866995|discover|Use Case 4 - Green|Ms. Roxane Effertz|2|PALO ALTO|CA|94303|US|
97_2016-02-01 22:08:53|10786155|Payment|1111|Customer Payment|US|2015-07-06|2015-07-05|Paper Check|C|3000|266|1295|30872153408866995|discover|Use Case 4 - Green|Ms. Roxane Effertz|2|PALO ALTO|CA|94303|US|
98_2016-02-01 22:08:53|10786155|Payment|1111|Customer Payment|PT|2015-07-09|2015-07-08|e-Check Check|C|3000|947|2242|30872153408866995|discover|Use Case 4 - Green|Ms. Roxane Effertz|2|PALO ALTO|CA|94303|US|
99_2016-02-01 22:08:53|10786155|Payment|1111|Customer Payment|US|2015-07-11|2015-07-10|e-Check Check|C|3000|241|2483|30872153408866995|discover|Use Case 4 - Green|Ms. Roxane Effertz|2|PALO ALTO|CA|94303|US|
100_2016-02-01 22:08:53|10786155|Frontier Venture Innovation|5310|Discount Stores|US|2015-07-13|2015-07-12|Fee|D|3000|32|2451|30872153408866995|discover|Use Case 4 - Green|Ms. Roxane Effertz|2|PALO ALTO|CA|94303|US|
101_2016-02-01 22:08:53|10786155|Digital Design Net|3404|Car Rental|US|2015-07-16|2015-07-15|Interest Charge|D|3000|1122|1329|30872153408866995|discover|Use Case 4 - Green|Ms. Roxane Effertz|2|PALO ALTO|CA|94303|US|
102_2016-02-01 22:08:53|10786155|Payment|1111|Customer Payment|BH|2015-07-18|2015-07-17|Online Transfer|C|3000|922|2251|30872153408866995|discover|Use Case 4 - Green|Ms. Roxane Effertz|2|PALO ALTO|CA|94303|US|
103_2016-02-01 22:08:53|10786155|Omega Speed|3014|Airlines|US|2015-07-19|2015-07-18|Fee|D|3000|1194|1057|30872153408866995|discover|Use Case 4 - Green|Ms. Roxane Effertz|2|PALO ALTO|CA|94303|US|
104_2016-02-01 22:08:53|10786155|Payment|1111|Customer Payment|US|2015-07-20|2015-07-19|ACH Payment|C|3000|88|1145|30872153408866995|discover|Use Case 4 - Green|Ms. Roxane Effertz|2|PALO ALTO|CA|94303|US|
105_2016-02-01 22:08:53|10786155|Payment|1111|Customer Payment|DJ|2015-07-21|2015-07-20|Online Transfer|C|3000|885|2030|30872153408866995|discover|Use Case 4 - Green|Ms. Roxane Effertz|2|PALO ALTO|CA|94303|US|
106_2016-02-01 22:08:53|10786155|Payment|1111|Customer Payment|DJ|2015-07-23|2015-07-22|Cash Payment|C|3000|635|2665|30872153408866995|discover|Use Case 4 - Green|Ms. Roxane Effertz|2|PALO ALTO|CA|94303|US|
107_2016-02-01 22:08:53|10786155|Star Universal Star|4121|Taxicabs/Limousines|US|2015-07-26|2015-07-25|Fee|D|3000|1199|1466|30872153408866995|discover|Use Case 4 - Green|Ms. Roxane Effertz|2|PALO ALTO|CA|94303|US|
108_2016-02-01 22:08:53|10786155|Payment|1111|Customer Payment|US|2015-07-29|2015-07-28|ATM Payment|C|3000|804|2270|30872153408866995|discover|Use Case 4 - Green|Ms. Roxane Effertz|2|PALO ALTO|CA|94303|US|
